### DATA:
#
#         Q               I              Error
#470
8.07637845E-03 7.59492769E+00 1.45191458E-01
8.65326140E-03 7.55931614E+00 1.21146311E-01
9.23014409E-03 5.65182566E+00 7.51596635E-02
9.80702651E-03 4.42612869E+00 6.21539010E-02
1.03839086E-02 3.55563922E+00 4.81216838E-02
1.09607905E-02 2.82869993E+00 3.94989626E-02
1.15376720E-02 2.34165112E+00 3.03796909E-02
1.21145531E-02 2.07535148E+00 2.87791756E-02
1.26914339E-02 1.77133933E+00 2.21905053E-02
1.32683144E-02 1.66272221E+00 2.20463956E-02
1.38451944E-02 1.51409509E+00 1.91026602E-02
1.44220741E-02 1.41918281E+00 1.88534082E-02
1.49989533E-02 1.34014056E+00 1.79928961E-02
1.55758321E-02 1.23970119E+00 1.47957790E-02
1.61527104E-02 1.20189921E+00 1.53858083E-02
1.67295882E-02 1.12622451E+00 1.38524674E-02
1.73064656E-02 1.11699812E+00 1.42575031E-02
1.78833424E-02 1.10565895E+00 1.33605243E-02
1.84602187E-02 1.02269567E+00 1.21021458E-02
1.90370945E-02 1.04920347E+00 1.30044493E-02
1.96139697E-02 1.00034690E+00 1.14490775E-02
2.01908443E-02 1.00899960E+00 1.17953242E-02
2.07677184E-02 9.66308923E-01 1.13843252E-02
2.13445918E-02 9.74560294E-01 1.10285712E-02
2.19214646E-02 9.58066071E-01 1.12823440E-02
2.24983368E-02 9.37192429E-01 9.90669038E-03
2.30752083E-02 9.12852558E-01 9.38306927E-03
2.36520791E-02 8.93009487E-01 9.04018870E-03
2.42289492E-02 8.96158335E-01 9.51329160E-03
2.48058186E-02 8.97391348E-01 9.16930782E-03
2.53826873E-02 9.00040007E-01 8.67770023E-03
2.59595552E-02 8.99942454E-01 9.08608301E-03
2.65364224E-02 8.93276157E-01 8.56535368E-03
2.71132888E-02 8.82821485E-01 8.05132338E-03
2.76901544E-02 8.69283087E-01 7.77936011E-03
2.82670192E-02 8.76819211E-01 7.84161322E-03
2.88438831E-02 8.70104077E-01 7.72955883E-03
2.94207462E-02 8.64061960E-01 7.38476677E-03
2.99976085E-02 8.56297919E-01 7.38778891E-03
3.05744698E-02 8.51980705E-01 7.32273417E-03
3.11513303E-02 8.71967953E-01 7.44385935E-03
3.17281898E-02 8.66254549E-01 7.42506822E-03
3.23050484E-02 8.58101480E-01 7.03842163E-03
3.28819061E-02 8.54577944E-01 6.91114595E-03
3.34587628E-02 8.72236412E-01 6.94615520E-03
3.40356185E-02 8.63592228E-01 6.96027494E-03
3.46124732E-02 8.56416453E-01 6.89933933E-03
3.51893269E-02 8.61247545E-01 6.69681777E-03
3.57661796E-02 8.68207182E-01 6.78650354E-03
3.63430312E-02 8.70971347E-01 6.62015079E-03
3.69198817E-02 8.66703374E-01 6.80847126E-03
3.74967311E-02 8.58007217E-01 6.51831328E-03
3.80735795E-02 8.60499091E-01 6.52900479E-03
3.86504267E-02 8.71401098E-01 6.71437540E-03
3.92272728E-02 8.68340148E-01 6.42327379E-03
3.98041178E-02 8.66893942E-01 6.53676863E-03
4.03809615E-02 8.68975549E-01 6.28639075E-03
4.09578041E-02 8.64593381E-01 6.42895393E-03
4.15346455E-02 8.63692240E-01 6.42389393E-03
4.21114857E-02 8.68278051E-01 6.39366701E-03
4.26883246E-02 8.78119111E-01 6.29483774E-03
4.32651622E-02 8.74695103E-01 6.22957712E-03
4.38419986E-02 8.67422264E-01 6.31727962E-03
4.44188337E-02 8.77409625E-01 6.14888082E-03
4.49956675E-02 8.72564796E-01 6.09134018E-03
4.55725000E-02 8.65308345E-01 6.28221021E-03
4.61493312E-02 8.69687101E-01 5.97272993E-03
4.67261609E-02 8.67787506E-01 6.10478418E-03
4.73029893E-02 8.61743179E-01 5.89221680E-03
4.78798164E-02 8.67107702E-01 5.90708862E-03
4.84566420E-02 8.65490654E-01 6.06052884E-03
4.90334662E-02 8.78417013E-01 5.87995810E-03
4.96102889E-02 8.71716464E-01 5.85035661E-03
5.01871102E-02 8.74045719E-01 5.83514690E-03
5.07639300E-02 8.64985573E-01 5.85881346E-03
5.13407483E-02 8.81391874E-01 5.84686865E-03
5.19175651E-02 8.85267853E-01 5.80306678E-03
5.24943804E-02 8.76507848E-01 5.71594698E-03
5.30711941E-02 8.69128153E-01 5.68057820E-03
5.36480063E-02 8.73471984E-01 5.76522927E-03
5.42248169E-02 8.77706080E-01 5.64511566E-03
5.48016259E-02 8.71650791E-01 5.66628304E-03
