### DATA:
#
#         Q               I              Error
#470
8.07637845E-03 1.41597210E+01 2.82991071E-01
8.65326140E-03 1.08756927E+01 2.08575100E-01
9.23014409E-03 9.07272074E+00 1.40063372E-01
9.80702651E-03 8.12076281E+00 1.20516507E-01
1.03839086E-02 7.11501148E+00 9.43117324E-02
1.09607905E-02 6.76854460E+00 8.55186725E-02
1.15376720E-02 6.07107810E+00 7.06926482E-02
1.21145531E-02 5.28377925E+00 6.21796437E-02
1.26914339E-02 4.86954862E+00 5.20877561E-02
1.32683144E-02 4.52926123E+00 5.11315812E-02
1.38451944E-02 4.22877820E+00 4.42998554E-02
1.44220741E-02 4.00010894E+00 4.44632407E-02
1.49989533E-02 3.75149775E+00 4.26617393E-02
1.55758321E-02 3.64691921E+00 3.59183174E-02
1.61527104E-02 3.47825343E+00 3.75393165E-02
1.67295882E-02 3.29598828E+00 3.36097887E-02
1.73064656E-02 3.21908438E+00 3.37714224E-02
1.78833424E-02 3.14502341E+00 3.16832468E-02
1.84602187E-02 3.08773936E+00 3.09683875E-02
1.90370945E-02 2.95040870E+00 3.18553059E-02
1.96139697E-02 2.91842213E+00 2.79298609E-02
2.01908443E-02 2.79918826E+00 2.87959074E-02
2.07677184E-02 2.73913294E+00 2.73889668E-02
2.13445918E-02 2.63660382E+00 2.62609867E-02
2.19214646E-02 2.65824914E+00 2.74795005E-02
2.24983368E-02 2.58505429E+00 2.33763296E-02
2.30752083E-02 2.59218830E+00 2.27750972E-02
2.36520791E-02 2.54347485E+00 2.23962233E-02
2.42289492E-02 2.50390524E+00 2.29856913E-02
2.48058186E-02 2.46789658E+00 2.22047912E-02
2.53826873E-02 2.42182398E+00 2.10981799E-02
2.59595552E-02 2.37083503E+00 2.15209061E-02
2.65364224E-02 2.41839317E+00 2.09765175E-02
2.71132888E-02 2.37087410E+00 1.94664190E-02
2.76901544E-02 2.33766134E+00 1.86236687E-02
2.82670192E-02 2.29527435E+00 1.86974130E-02
2.88438831E-02 2.26532237E+00 1.84463924E-02
2.94207462E-02 2.27774131E+00 1.73548559E-02
2.99976085E-02 2.28203024E+00 1.76441843E-02
3.05744698E-02 2.25819953E+00 1.72823297E-02
3.11513303E-02 2.23749453E+00 1.76101557E-02
3.17281898E-02 2.18971958E+00 1.74582619E-02
3.23050484E-02 2.23391516E+00 1.65855542E-02
