### DATA:
#
#         Q               I              Error
#470
8.07637845E-03 1.09788226E+01 9.20246870E-02
8.65326140E-03 1.09788226E+01 9.20246870E-02
9.23014409E-03 1.09788226E+01 9.20246870E-02
9.80702651E-03 1.09788226E+01 9.20246870E-02
1.03839086E-02 1.09788226E+01 9.20246870E-02
1.09607905E-02 1.09788226E+01 9.20246870E-02
1.15376720E-02 1.09788226E+01 9.20246870E-02
1.21145531E-02 1.09788226E+01 9.20246870E-02
1.26914339E-02 1.09788226E+01 9.20246870E-02
1.32683144E-02 1.09788226E+01 9.20246870E-02
1.38451944E-02 1.09788226E+01 9.20246870E-02
1.44220741E-02 1.09788226E+01 9.20246870E-02
1.49989533E-02 1.09788226E+01 9.20246870E-02
1.55758321E-02 1.09788226E+01 9.20246870E-02
1.61527104E-02 1.09788226E+01 9.20246870E-02
1.67295882E-02 1.09788226E+01 9.20246870E-02
1.73064656E-02 1.09788226E+01 9.20246870E-02
1.78833424E-02 1.09788226E+01 9.20246870E-02
1.84602187E-02 1.09788226E+01 9.20246870E-02
1.90370945E-02 1.09788226E+01 9.20246870E-02
1.96139697E-02 1.09788226E+01 9.20246870E-02
2.01908443E-02 1.09788226E+01 9.20246870E-02
2.07677184E-02 1.09788226E+01 9.20246870E-02
2.13445918E-02 1.09788226E+01 9.20246870E-02
2.19214646E-02 1.09788226E+01 9.20246870E-02
2.24983368E-02 1.09788226E+01 9.20246870E-02
2.30752083E-02 1.09788226E+01 9.20246870E-02
2.36520791E-02 1.09788226E+01 9.20246870E-02
2.42289492E-02 1.09788226E+01 9.20246870E-02
2.48058186E-02 1.09788226E+01 9.20246870E-02
2.53826873E-02 1.09788226E+01 9.20246870E-02
2.59595552E-02 1.09788226E+01 9.20246870E-02
2.65364224E-02 1.09788226E+01 9.20246870E-02
2.71132888E-02 1.09788226E+01 9.20246870E-02
2.76901544E-02 1.09788226E+01 9.20246870E-02
2.82670192E-02 1.09788226E+01 9.20246870E-02
2.88438831E-02 1.09788226E+01 9.20246870E-02
2.94207462E-02 1.09788226E+01 9.20246870E-02
2.99976085E-02 1.09788226E+01 9.20246870E-02
3.05744698E-02 1.09862460E+01 9.04881700E-02
3.11513303E-02 1.09743589E+01 9.06775238E-02
3.17281898E-02 1.10297081E+01 9.24740606E-02
3.23050484E-02 1.10632503E+01 8.66949027E-02
3.28819061E-02 1.08808271E+01 8.42543728E-02
3.34587628E-02 1.10243152E+01 8.39220121E-02
3.40356185E-02 1.09517276E+01 8.28464659E-02
3.46124732E-02 1.10797271E+01 8.54377324E-02
3.51893269E-02 1.08248271E+01 8.28094930E-02
3.57661796E-02 1.08713496E+01 8.27832888E-02
3.63430312E-02 1.10155901E+01 7.85790990E-02
3.69198817E-02 1.09463221E+01 8.18076337E-02
3.74967311E-02 1.09162251E+01 7.91882192E-02
3.80735795E-02 1.09019900E+01 7.97512509E-02
3.86504267E-02 1.09609103E+01 8.15237567E-02
3.92272728E-02 1.08986914E+01 7.88497286E-02
3.98041178E-02 1.08722641E+01 7.98257604E-02
4.03809615E-02 1.09508179E+01 7.80151349E-02
4.09578041E-02 1.11161631E+01 7.96479544E-02
4.15346455E-02 1.10115530E+01 7.73699857E-02
4.21114857E-02 1.11174299E+01 7.69789902E-02
4.26883246E-02 1.09074281E+01 7.63462315E-02
4.32651622E-02 1.09786419E+01 7.52765504E-02
4.38419986E-02 1.10352441E+01 7.67987599E-02
4.44188337E-02 1.11179857E+01 7.62788952E-02
4.49956675E-02 1.09904479E+01 7.41206322E-02
4.55725000E-02 1.10456882E+01 7.55700575E-02
4.61493312E-02 1.09876324E+01 7.33470217E-02
4.67261609E-02 1.10240380E+01 7.31065405E-02
4.73029893E-02 1.09083745E+01 7.14753182E-02
4.78798164E-02 1.11024285E+01 7.27231295E-02
4.84566420E-02 1.10275997E+01 7.16342425E-02
4.90334662E-02 1.09295048E+01 7.04724741E-02
4.96102889E-02 1.10141477E+01 7.40045166E-02
5.01871102E-02 1.09081163E+01 7.04671662E-02
5.07639300E-02 1.10258834E+01 7.18409741E-02
5.13407483E-02 1.10487759E+01 7.05432562E-02
5.19175651E-02 1.09339300E+01 6.71372257E-02
5.24943804E-02 1.08695113E+01 6.98301395E-02
5.30711941E-02 1.10213685E+01 7.10046224E-02
5.36480063E-02 1.10163336E+01 6.89027443E-02
5.42248169E-02 1.10807557E+01 6.99766780E-02
5.48016259E-02 1.11454245E+01 6.98990496E-02
5.53784333E-02 1.10208628E+01 6.78612569E-02
5.59552391E-02 1.12425222E+01 6.82780953E-02
5.65320432E-02 1.10003074E+01 7.04266246E-02
5.71088457E-02 1.09944577E+01 7.05873548E-02
5.76856465E-02 1.09435814E+01 7.39447663E-02
5.82624456E-02 1.10926080E+01 7.27313507E-02
5.88392429E-02 1.10971441E+01 7.60775749E-02
5.94160386E-02 1.09622454E+01 7.45700375E-02
5.99928325E-02 1.10236565E+01 7.55427455E-02
6.05696246E-02 1.08864553E+01 7.49805154E-02
6.11464150E-02 1.11253750E+01 7.50168149E-02
6.17232036E-02 1.10046812E+01 7.65837088E-02
6.22999903E-02 1.09142325E+01 7.64952877E-02
6.28767752E-02 1.09436746E+01 7.35663732E-02
6.34535583E-02 1.09731297E+01 7.87107228E-02
6.40303395E-02 1.09926190E+01 7.56738837E-02
6.46071188E-02 1.10167194E+01 7.64127124E-02
6.51838962E-02 1.10663252E+01 7.81728689E-02
6.57606717E-02 1.10394523E+01 7.74187689E-02
6.63374453E-02 1.11652445E+01 8.17118715E-02
6.69142169E-02 1.09629777E+01 7.47095257E-02
6.74909866E-02 1.09441634E+01 8.04614496E-02
6.80677543E-02 1.11055045E+01 7.52197986E-02
6.86445199E-02 1.09911412E+01 7.47709465E-02
6.92212836E-02 1.10585986E+01 7.84352354E-02
6.97980452E-02 1.09490573E+01 7.47323409E-02
7.03748048E-02 1.11330487E+01 8.20946223E-02
7.09515623E-02 1.10112805E+01 7.70338720E-02
7.15283177E-02 1.09822546E+01 7.80272083E-02
7.21050710E-02 1.10304996E+01 8.00013150E-02
7.26818222E-02 1.09351809E+01 7.97141601E-02
7.32585713E-02 1.08719470E+01 7.90433160E-02
7.38353182E-02 1.07750721E+01 7.65500260E-02
